disant	lar	com				
0.150	0.310	0.760				
0.140	0.330	0.880				
0.130	0.350	1.050				
0.140	0.330	0.800				
0.140	0.310	0.990				
0.130	0.300	1.010				
0.140	0.310	1.070				
0.140	0.310	0.930				
0.140	0.300	0.780				
0.130	0.290	0.890				
0.140	0.290	0.900				
0.150	0.340	1.000				
0.130	0.310	1.020				
0.140	0.350	1.090				
0.140	0.350	1.100				
0.140	0.360	1.000				
0.140	0.340	1.040				
0.140	0.360	1.000				
0.140	0.350	1.150				
0.140	0.370	1.160				
0.140	0.340	1.010				
0.140	0.320	1.160				
0.140	0.340	1.170				
0.140	0.320	1.030				
0.140	0.340	1.010				
0.140	0.340	1.100				
0.140	0.340	1.090				
0.140	0.300	1.110				
0.140	0.340	1.070				
0.140	0.360	1.030				
0.140	0.310	1.050				
0.130	0.330	0.980				
0.140	0.340	0.900				
0.140	0.340	1.100				
0.140	0.370	1.040				
0.140	0.310	0.930				
0.140	0.320	1.040				
0.140	0.330	0.910				
0.130	0.400	1.000				
0.130	0.360	1.000				
0.140	0.330	1.010				
0.140	0.350	1.090				
0.140	0.330	1.000				
0.140	0.300	0.980				
0.140	0.360	1.080				
0.140	0.310	0.990				
0.140	0.370	1.040				
0.140	0.330	1.010				
0.140	0.310	1.000				
0.140	0.360	1.090				
0.140	0.320	0.950				
0.130	0.340	1.060				
0.140	0.290	0.920				
0.140	0.370	1.070				
0.140	0.300	1.030				
0.140	0.370	0.990				
0.140	0.360	1.080				
0.150	0.410	0.950				
0.190	0.420	1.340				
0.190	0.400	1.670				
0.160	0.400	1.300				
0.170	0.440	1.180				
0.170	0.390	1.190				
0.170	0.420	1.290				
0.170	0.450	1.240				
0.170	0.450	1.360				
0.160	0.440	1.370				
0.180	0.410	1.330				
0.170	0.390	1.280				
0.180	0.420	1.270				
0.190	0.420	1.340				
0.190	0.400	1.670				
0.160	0.400	1.300				
0.170	0.440	1.180				
0.170	0.390	1.190				
0.170	0.420	1.290				
0.170	0.450	1.360				
0.160	0.440	1.370				
0.180	0.410	1.330				
0.170	0.390	1.280				
0.180	0.420	1.270				
0.190	0.490	1.430				
0.170	0.440	1.380				
0.180	0.440	1.300				
0.170	0.390	1.260				
0.180	0.390	1.390				
0.170	0.380	1.310				
0.180	0.490	1.290				
0.170	0.370	1.220				
0.170	0.380	1.240				
0.180	0.410	1.340				
0.160	0.430	1.320				
0.180	0.440	1.350				
0.180	0.400	1.450				
0.160	0.480	1.260				
0.160	0.410	1.170				
0.160	0.490	1.360				
0.150	0.310	1.490				
0.160	0.490	1.350				
0.170	0.390	1.320				
0.160	0.430	1.280				
0.150	0.410	1.220				
0.160	0.390	1.250				
0.160	0.460	1.400				
0.160	0.460	1.360				
0.170	0.460	1.380				
0.170	0.410	1.440				
0.160	0.460	1.250				
0.160	0.430	1.350				
0.160	0.480	1.460				
0.170	0.460	1.210				
0.170	0.470	1.340				
0.160	0.430	1.280				
0.170	0.380	1.240				
0.170	0.460	1.360				
0.150	0.510	1.200				
0.160	0.480	1.450				
0.160	0.480	1.380				
0.170	0.450	1.270				
0.150	0.340	0.990				
0.160	0.460	1.230				
0.160	0.410	1.210				
0.160	0.470	1.050				
0.170	0.490	1.290				
0.150	0.520	1.360				
0.170	0.630	1.720				
0.170	0.470	1.380				
0.170	0.480	1.450				
0.170	0.510	1.420				
0.180	0.530	1.500				
0.200	0.680	1.700				
0.200	0.670	1.570				
0.200	0.710	1.570				
0.190	0.500	1.480				
0.180	0.460	1.370				
0.180	0.500	1.470				
0.170	0.480	1.330				
0.190	0.560	1.590				
0.180	0.460	1.370				
0.180	0.530	1.430				
0.200	0.720	1.680				
0.190	0.670	1.620				
0.180	0.500	1.390				
0.170	0.490	1.490				
0.180	0.620	1.320				
0.180	0.500	1.450				
0.180	0.510	1.230				
0.170	0.490	1.440				
0.180	0.530	1.260				
0.190	0.610	1.610				
0.180	0.470	1.410				
0.200	0.650	1.580				
0.180	0.460	1.370				
0.180	0.490	1.440				
0.180	0.510	1.320				
0.170	0.500	1.480				
0.210	0.670	1.680				
0.200	0.670	1.750				
0.200	0.670	1.610				
0.200	0.640	1.750				
0.190	0.610	1.800				
0.160	0.460	1.470				
0.180	0.590	1.780				
0.180	0.600	1.800				
0.200	0.660	1.590				
0.170	0.490	1.470				
0.200	0.650	1.820				
0.200	0.670	1.790				
0.160	0.440	1.500				
0.190	0.660	1.780				
0.170	0.440	1.470				
0.200	0.510	1.420				
0.200	0.670	1.740				
0.190	0.630	1.740				
0.180	0.660	1.670				
0.180	0.660	1.720				
0.190	0.620	1.860				
0.210	0.670	1.660				
0.180	0.540	1.690				
0.160	0.530	1.450				
0.180	0.580	1.710				
0.190	0.600	1.540				
0.190	0.630	1.820				
0.190	0.590	1.740				
0.200	0.580	1.830				
0.190	0.680	1.690				
0.190	0.670	1.650				
0.180	0.470	1.420				
0.230	0.790	2.080				
0.220	0.750	2.060				
0.230	0.790	2.350				
0.210	0.810	1.910				
0.200	0.610	1.820				
0.220	0.630	1.700				
0.200	0.620	1.810				
0.210	0.800	2.060				
0.200	0.540	1.510				
0.200	0.840	2.010				
0.190	0.580	1.800				
0.200	0.600	1.800				
0.190	0.540	1.630				
0.200	0.820	1.830				
0.200	0.600	1.570				
0.210	0.820	2.060				
0.220	0.730	1.800				
0.220	0.820	2.080				
0.240	0.860	1.980				
0.190	0.560	1.730				
0.230	0.850	2.070				
0.240	0.770	2.180				
0.180	0.550	1.520				
0.200	0.850	2.040				
0.200	0.600	1.730				
0.220	0.640	1.880				
0.220	0.550	1.680				
0.210	0.600	1.710				
0.230	0.280	2.440				
0.240	0.770	1.890				
0.200	0.590	1.720				
0.210	0.600	1.870				
0.210	0.830	2.030				
0.210	0.610	1.530				
0.190	0.600	1.880				
0.200	0.600	1.760				
0.210	0.610	1.820				
0.200	0.600	1.930				
0.200	0.620	1.820				
0.230	0.890	1.970				
0.210	0.760	2.110				
0.200	0.630	1.760				
0.210	0.640	1.940				
0.210	0.640	1.830				
0.210	0.570	1.880				
0.220	0.620	1.970				
0.200	0.630	1.810				
0.210	0.650	1.740				
0.190	0.640	1.850				
0.220	0.660	1.790				
0.190	0.590	1.900				
0.210	0.600	1.820				
0.200	0.560	1.810				
0.190	0.610	1.770				
0.190	0.630	1.870				
0.190	0.670	1.870				
0.200	0.620	1.890				
0.200	0.590	1.870				
0.230	0.870	2.170				
0.200	0.630	1.820				
0.200	0.600	1.830				
0.210	0.630	1.890				
0.210	0.640	1.830				
0.210	0.630	1.850				
0.210	0.800	1.990				
0.200	0.540	1.790				
0.190	0.640	1.800				
0.190	0.590	1.810				
0.200	0.650	1.770				
0.200	0.630	1.640				
0.210	0.630	1.860				
0.240	0.850	2.190				
0.230	0.730	2.110				
0.240	0.790	2.160				
0.230	0.710	2.280				
0.240	0.800	2.220				
0.230	0.800	2.090				
0.230	0.740	2.180				
0.220	0.770	2.110				
0.240	0.840	2.170				
0.230	0.720	1.830				
0.210	0.640	1.790				
0.220	0.600	1.870				
0.220	0.790	1.750				
0.220	0.770	2.280				
0.230	0.820	2.190				
0.210	0.790	1.980				
0.220	0.840	2.050				
0.230	0.880	1.890				
0.220	0.800	2.330				
0.240	0.990	2.810				
0.230	0.790	2.240				
0.220	0.750	1.970				
0.220	0.850	2.130				
0.220	0.830	1.860				
0.220	0.820	2.230				
0.230	0.820	2.090				
0.230	0.770	2.130				
0.220	0.940	1.990				
0.230	0.820	2.170				
0.220	0.780	2.170				
0.220	0.780	2.050				
0.220	0.850	2.050				
0.210	0.750	2.200				
0.250	0.790	2.280				
0.250	0.840	2.160				
0.230	0.760	2.220				
0.250	0.790	2.360				
0.240	0.780	2.430				
0.200	0.850	1.960				
0.250	0.930	2.070				
0.250	0.800	2.160				
0.280	1.180	2.630				
0.260	1.030	2.750				
0.220	0.750	2.240				
0.240	0.870	1.990				
0.250	0.800	2.260				
0.250	0.800	2.270				
0.260	0.790	2.250				
0.240	0.810	2.220				
0.230	0.830	1.190				
0.210	0.790	1.900				
0.220	0.790	2.110				
0.240	0.870	2.080				
0.230	0.760	2.290				
0.230	0.880	2.060				
0.240	0.850	2.250				
0.230	0.810	2.310				
0.250	0.790	2.330				
0.220	0.890	2.080				
0.240	0.880	2.010				
0.220	0.800	2.290				
0.230	0.770	2.080				
0.230	0.840	1.950				
0.240	0.910	1.980				
0.240	0.760	2.230				
0.240	0.890	1.960				
0.210	0.900	2.110				
0.220	0.840	2.090				
0.230	0.560	2.370				
0.230	0.760	2.330				
0.220	0.890	2.150				
0.220	0.790	2.350				
0.240	0.830	2.120				
0.240	0.780	2.180				
0.230	0.870	1.930				
0.230	0.750	2.260				
0.200	0.840	2.100				
0.240	0.790	2.710				
0.230	0.760	2.350				
0.250	1.060	2.500				
0.240	0.990	2.820				
0.240	1.090	2.560				
0.240	0.960	2.850				
0.230	0.780	1.930				
0.240	0.970	2.770				
0.250	0.720	2.420				
0.240	0.940	2.430				
0.230	0.750	2.280				
0.230	0.760	2.370				
0.240	0.780	2.260				
0.240	0.820	2.450				
0.220	0.720	2.240				
0.220	0.780	2.290				
0.230	0.750	2.290				
0.250	0.790	2.300				
0.250	0.870	2.300				
0.250	0.780	2.310				
0.240	0.800	2.390				
0.240	0.740	2.320				
0.230	0.750	2.290				
0.250	0.810	2.470				
0.230	0.770	2.290				
0.230	0.760	2.390				
0.230	0.780	2.200				
0.220	0.820	2.670				
0.240	1.000	2.490				
0.240	0.970	2.740				
0.230	0.810	2.250				
0.250	1.020	2.580				
0.220	0.920	2.510				
0.230	0.960	2.310				
0.240	0.970	2.460				
0.240	0.910	2.750				
0.250	0.920	2.670				
0.240	1.000	2.680				
0.240	0.910	2.770				
0.250	0.890	2.590				
0.240	1.070	2.610				
0.240	0.950	2.480				
0.230	0.790	2.180				
0.240	0.940	2.810				
0.250	0.810	2.390				
0.240	1.000	2.850				
0.240	0.940	2.840				
0.230	0.790	2.360				
0.220	0.800	2.360				
0.230	0.900	2.880				
0.250	1.000	2.860				
0.230	0.960	2.530				
0.240	0.840	2.370				
0.220	0.770	2.330				
0.230	0.780	2.390				
0.240	1.050	2.690				
0.240	0.850	2.520				
0.220	0.780	2.330				
0.230	0.930	2.930				
0.240	0.970	2.810				
0.250	1.040	2.990				
0.220	0.780	2.400				
0.240	0.830	2.370				
0.230	0.890	2.790				
0.260	0.990	2.760				
0.240	0.860	2.410				
0.230	0.970	2.850				
0.230	0.870	2.340				
0.230	0.790	2.130				
0.220	0.830	2.340				
0.210	0.740	2.200				
0.230	1.000	2.500				
0.240	0.970	2.640				
0.260	1.060	2.910				
0.250	0.890	2.710				
0.250	1.010	2.800				
0.270	1.020	2.950				
0.260	1.030	2.950				
0.220	0.800	2.630				
0.250	1.030	2.730				
0.260	0.960	2.870				
0.260	1.060	2.850				
0.250	0.920	2.630				
0.260	1.020	2.780				
0.260	1.110	2.830				
0.230	0.860	2.760				
0.260	1.090	2.660				
0.250	0.910	2.700				
0.260	1.050	2.910				
0.250	0.940	2.750				
0.250	1.020	2.520				
0.250	0.950	2.960				
0.260	0.990	2.800				
0.250	0.980	2.550				
0.260	1.020	2.740				
0.250	1.040	2.640				
0.260	1.100	2.800				
0.250	0.900	2.700				
0.240	0.900	2.400				
0.250	1.020	2.800				
0.250	1.020	2.760				
0.250	1.120	2.880				
0.250	1.010	2.790				
0.260	1.000	2.950				
0.250	0.990	2.720				
0.250	1.050	2.760				
0.250	1.010	2.770				
0.250	1.100	2.920				
0.250	1.070	2.970				
0.240	0.970	2.660				
0.250	1.090	2.950				
0.250	0.790	2.720				
0.250	0.940	2.660				
0.270	1.030	2.680				
0.260	1.020	2.700				
0.250	1.010	2.740				
0.270	0.980	2.770				
0.250	1.070	2.570				
0.250	1.030	2.760				
0.250	1.010	2.590				
0.240	1.030	2.700				
0.260	1.010	2.860				
0.240	0.910	2.570				
0.250	1.080	2.850				
0.250	0.910	2.760				
0.240	0.950	2.720				
0.250	0.990	2.740				
0.250	1.010	2.640				
0.260	1.030	2.740				
0.250	1.010	2.870				
0.230	0.970	2.660				
0.270	0.970	2.560				
0.240	1.000	2.660				
0.240	0.930	2.660				
0.280	0.990	2.530				
0.230	0.910	2.690				
0.250	0.950	2.540				
0.230	0.950	2.670				
0.250	0.910	2.760				
0.230	0.910	2.730				
0.230	0.890	2.630				
0.260	1.000	2.890				
0.250	0.910	2.530				
0.260	1.010	2.870				
0.230	1.040	2.860				
0.270	1.070	2.800				
0.260	0.960	2.840				
0.240	0.910	2.830				
0.260	0.900	2.620				
0.270	1.050	2.860				
0.240	1.090	3.000				
0.270	1.060	2.600				
0.270	1.010	2.900				
0.260	0.910	2.580				
0.290	1.050	2.750				
0.240	1.050	2.360				
0.300	1.040	2.830				
0.240	1.040	2.520				
0.260	1.000	3.120				
0.250	1.010	2.870				
0.260	1.060	2.940				
0.260	1.020	2.950				
0.250	1.030	2.800				
0.250	0.940	2.920				
0.260	0.950	2.660				
0.250	0.930	2.640				
0.250	0.930	2.680				
0.250	1.070	2.420				
0.250	0.960	2.680				
0.250	0.930	2.660				
0.250	1.040	2.690				
0.260	0.990	2.880				
0.250	1.000	2.880				
0.240	1.060	2.870				
0.240	0.980	2.690				
0.250	0.930	2.790				
0.260	1.070	2.860				
0.280	1.090	3.100				
0.260	0.990	2.860				
0.250	0.990	2.750				
0.240	1.060	2.710				
0.250	0.940	2.680				
0.270	1.080	2.890				
0.250	1.120	2.770				
0.260	1.110	2.750				
0.260	1.070	2.830				
0.270	1.060	2.820				
0.250	0.990	2.810				
0.250	0.990	2.650				
0.250	1.000	2.860				
0.260	1.000	2.820				
0.250	1.030	2.750				
0.250	0.990	2.770				
0.280	1.100	2.910				
0.250	0.980	2.840				
0.250	0.980	2.730				
0.260	0.970	2.730				
0.260	0.970	2.790				
0.250	0.970	2.700				
0.260	1.040	2.820				
0.260	1.060	2.980				
0.250	1.040	2.970				
0.260	1.080	2.990				
0.270	1.090	2.920				
0.240	1.060	2.800				
0.220	0.990	2.860				
0.260	1.120	2.950				
0.240	1.020	2.780				
0.260	1.120	2.990				
0.260	1.110	2.790				
0.280	1.260	3.100				
0.250	1.010	2.740				
0.260	1.110	2.890				
0.250	1.070	2.900				
0.240	1.000	2.890				
0.250	1.160	3.200				
0.220	1.000	2.850				
0.260	1.010	2.820				
0.260	1.040	2.830				
0.250	1.020	2.920				
0.260	1.100	2.950				
0.260	1.090	2.880				
0.250	1.090	2.880				
0.270	1.160	3.140				
0.260	1.150	3.150				
0.250	1.080	2.860				
0.250	1.080	2.860				
0.250	1.050	3.010				
0.230	1.030	2.770				
0.240	1.050	2.910				
0.250	1.080	2.860				
0.260	1.090	2.770				
0.240	1.080	3.090				
0.250	1.070	2.920				
0.250	1.120	2.930				
0.240	0.970	2.870				
0.250	0.970	2.640				
0.250	1.020	2.750				
0.250	1.020	2.810				
0.250	1.040	2.720				
0.240	1.020	2.960				
0.240	1.060	2.790				
0.230	0.980	2.790				
0.250	0.980	2.880				
0.240	1.030	2.780				
0.240	1.010	2.840				
0.250	1.050	2.970				
0.230	0.990	2.790				
0.250	1.070	2.950				
0.250	1.060	2.770				
0.270	1.030	2.670				
0.240	0.990	2.700				
0.250	1.060	2.770				
0.260	0.930	2.700				
0.240	1.060	2.820				
0.240	1.020	2.660				
0.260	0.960	2.810				
0.250	1.040	2.820				
0.250	1.000	2.740				
0.250	1.000	2.820				
0.240	0.910	2.780				
0.240	0.910	2.780				
0.250	1.010	2.620				
0.260	1.110	2.920				
0.230	0.870	2.690				
0.230	0.870	2.690				
0.250	0.960	2.660				
0.250	0.980	2.920				
0.240	0.920	2.820				
0.260	1.060	2.730				
0.240	0.990	2.670				
0.250	0.910	2.850				
0.240	0.940	2.540				
0.260	1.090	2.850				
0.250	0.900	2.900				
0.240	0.980	2.780				
0.270	0.920	2.780				
0.240	0.990	2.820				
0.260	1.080	2.780				
0.270	1.070	3.020				
0.270	1.070	3.070				
0.240	1.030	2.600				
0.230	0.930	2.750				
0.240	1.000	2.680				
0.270	1.260	3.170				
0.260	0.880	2.170				
0.250	1.000	2.840				
0.240	1.070	2.830				
0.230	0.880	2.950				
0.240	0.880	2.680				
0.250	0.820	2.770				
							
							
							
							
							
							 
							
							
							
